tanggal,positif,sembuh,meninggal,suspect
2022-02-03,0,2668,105,
2022-02-04,0,2668,105,
2022-02-05,2,2668,105,
2022-02-06,2,2668,105,
2022-02-07,2,2668,105,
2022-02-08,3,2668,105,
2022-02-09,10,2668,105,
2022-02-10,14,2668,105,
2022-02-11,26,2668,106,
2022-02-12,50,2668,106,
2022-02-13,61,2668,106,
2022-02-14,60,2671,106,
2022-02-15,82,2677,106,
2022-02-16,75,2713,106,
2022-02-17,104,2723,107,
2022-02-18,115,2736,107,
2022-02-19,117,2754,107,
2022-02-20,84,2794,108,
2022-02-21,49,2831,109,
2022-02-22,86,2845,109,
2022-02-23,105,2863,109,
2022-02-24,128,2869,109,
2022-02-25,134,2878,109,
2022-02-26,159,2881,109,
2022-02-27,119,2929,109,
2022-02-28,83,2967,109,
2022-03-01,64,2993,109,
2022-03-02,90,3008,109,
2022-03-03,109,3026,109,
2022-03-04,90,3051,109,
2022-03-05,98,3054,109,
2022-03-06,110,3054,109,
2022-03-07,105,3060,109,
2022-03-08,105,3060,109,
2022-03-08,76,3108,109,
2022-03-09,63,3134,109,
2022-03-10,67,3137,110,
2022-03-11,66,3151,110,
2022-03-12,61,3159,112,
2022-03-13,62,3159,112,
2022-03-14,62,3159,113,
2022-03-15,53,3177,113,
2022-03-16,45,3190,113,
2022-03-17,41,3200,113,
2022-03-18,32,3210,113,
2022-03-19,29,3215,113,
2022-03-20,29,3215,113,
2022-03-21,29,3215,113,
2022-03-22,28,3232,113,
2022-03-23,28,3232,113,
