tanggal,positif,sembuh,meninggal,suspect
2022-02-03,66,5880,250,
2022-02-04,90,5880,250,
2022-02-05,110,5880,250,
2022-02-06,138,5880,250,
2022-02-07,151,5880,250,
2022-02-08,206,5882,250,
2022-02-09,270,5882,250,
2022-02-10,324,5898,250,
2022-02-11,383,5914,250,
2022-02-12,476,5915,251,
2022-02-13,572,5916,252,
2022-02-14,592,5938,253,
2022-02-15,684,5938,253,
2022-02-16,758,5957,253,
2022-02-17,810,6027,254,
2022-02-18,818,6076,254,
2022-02-19,892,6083,254,
2022-02-20,930,6085,254,
2022-02-21,974,6129,254,
2022-02-22,919,6282,254,
2022-02-23,971,6282,254,
2022-02-24,995,6297,254,
2022-02-25,925,6401,255,
2022-02-26,895,6451,255,
2022-02-27,920,6451,256,
2022-02-28,920,6451,256,
2022-03-01,918,6470,256,
2022-03-02,922,6485,256,
2022-03-03,943,6485,256,
2022-03-04,874,6564,256,
2022-03-05,773,6677,256,
2022-03-06,775,6677,256,
2022-03-07,547,6905,257,
2022-03-08,499,6963,257,
2022-03-08,547,6905,257,
2022-03-09,510,6966,257,
2022-03-10,516,6966,257,
2022-03-11,284,7206,257,
2022-03-12,294,7206,257,
2022-03-13,297,7206,257,
2022-03-14,297,7206,257,
2022-03-15,169,7340,257,
2022-03-16,115,7398,257,
2022-03-17,96,7417,257,
2022-03-18,99,7417,257,
2022-03-19,99,7417,257,
2022-03-20,109,7417,257,
2022-03-21,110,7417,257,
2022-03-22,90,7437,258,
2022-03-23,90,7437,258,
2022-03-24,93,7437,258,
2022-03-25,93,7437,258,
2022-03-26,95,7437,258,
2022-03-27,95,7437,258,
2022-03-28,27,7505,258,
2022-03-29,27,7505,258,
2022-03-30,7,7526,258,
2022-03-31,7,7526,258,
2022-04-01,12,7526,258,
2022-04-02,12,7526,258,
2022-04-03,13,7526,258,
2022-04-04,13,7526,258,
2022-04-05,13,7526,258,
2022-04-06,11,7528,258,
2022-04-07,13,7528,258,
2022-04-08,14,7528,258,
2022-04-09,13,7531,258,
2022-04-10,11,7533,258,
2022-05-20,0,7555,260,
2022-05-21,0,7555,260,
2022-05-22,1,7555,260,
2022-05-23,1,7555,260,
2022-05-24,1,7555,260,
2022-05-25,1,7555,260,
2022-05-26,1,7555,260,
2022-05-27,1,7555,260,
2022-05-28,1,7555,260,
2022-05-29,1,7555,260,
2022-05-30,1,7555,260,
2022-05-31,0,7556,260,
2022-06-01,0,7556,260,
2022-06-02,0,7556,260,
2022-06-03,0,7556,260,
2022-06-04,0,7556,260,
2022-06-05,0,7556,260,
2022-06-06,0,7556,260,
2022-06-07,0,7556,260,
2022-06-08,0,7556,260,
2022-06-09,1,7556,260,
2022-06-10,3,7556,260,
2022-06-11,5,7556,260,
2022-06-12,6,7556,260,
2022-06-13,7,7556,260,
2022-06-14,8,7556,260,
2022-06-15,8,7556,260,
2022-06-16,8,7556,260,
2022-06-17,7,7557,260,
2022-06-18,7,7557,260,
2022-06-19,5,7556,260,
2022-06-20,9,7557,260,
2022-06-21,9,7557,260,
2022-06-22,6,7560,260,
2022-06-23,6,7560,260,
2022-06-24,6,7560,260,
2022-06-25,6,7560,260,
2022-06-26,7,7560,260,
2022-06-27,8,7560,260,
2022-06-28,8,7560,260,
2022-06-29,8,7563,260,
2022-06-30,7,7565,260,
2022-07-01,7,7565,260,
2022-07-02,6,7567,260,
2022-07-03,7,7567,260,
2022-07-04,7,7567,260,
2022-07-05,7,7567,260,
2022-07-06,7,7567,260,
2022-07-07,8,7567,260,
2022-07-08,9,7567,260,
2022-07-09,9,7567,260,
2022-07-10,10,7567,260,
2022-07-11,10,7567,260,
2022-07-12,15,7567,260,
2022-07-13,12,7572,260,
2022-07-14,15,7572,260,
2022-07-15,22,7573,260,
2022-07-16,23,7573,260,
2022-07-17,23,7573,260,
2022-07-18,24,7573,260,
2022-07-19,29,7576,260,
2022-07-20,42,7576,260,
2022-07-21,51,7576,260,
2022-07-22,54,7576,260,
2022-07-23,55,7581,260,
2022-07-24,55,7581,260,
2022-07-25,69,7581,260,
