tanggal,positif,sembuh,meninggal,suspect
2022-02-03,18,4488,122,
2022-02-04,29,4488,122,
2022-02-05,38,4488,122,
2022-02-06,46,4488,122,
2022-02-07,49,4488,122,
2022-02-08,48,4488,123,
2022-02-09,70,4492,123,
2022-02-10,88,4493,124,
2022-02-11,110,4493,124,
2022-02-12,152,4499,124,
2022-02-13,177,4505,124,
2022-02-14,180,4507,124,
2022-02-15,207,4509,124,
2022-02-16,248,4524,124,
2022-02-17,261,4542,124,
2022-02-18,305,4546,124,
2022-02-19,321,4557,124,
2022-02-20,363,4563,124,
2022-02-21,345,4584,124,
2022-02-22,311,4620,124,
2022-02-23,320,4633,124,
2022-02-24,338,4646,124,
