tanggal,positif,sembuh,meninggal,suspect
2022-02-03,0,2151,74,
2022-02-04,2,2151,74,
2022-02-05,3,2151,74,
2022-02-06,5,2151,74,
2022-02-07,6,2151,74,
2022-02-08,8,2151,74,
2022-02-09,10,2151,74,
2022-02-10,11,2151,74,
2022-02-11,15,2152,74,
2022-02-12,16,2153,74,
2022-02-13,16,2153,74,
2022-02-14,15,2154,74,
2022-02-15,26,2155,74,
2022-02-16,33,2157,74,
2022-02-17,40,2157,74,
2022-02-18,37,2161,75,
2022-02-19,39,2162,75,
2022-02-20,41,2167,76,
2022-02-21,39,2169,76,
2022-02-22,48,2171,76,
2022-02-23,59,2171,76,
2022-02-24,52,2180,76,
2022-02-25,48,2189,76,
2022-02-26,43,2195,76,
2022-02-27,43,2197,76,
2022-02-28,41,2200,76,
2022-03-01,37,2211,77,
2022-03-02,41,2211,77,
2022-03-03,33,2219,77,
2022-03-04,27,2225,77,
2022-03-05,31,2231,77,
2022-03-06,30,2233,77,
2022-03-07,26,2237,77,
2022-03-08,26,2237,77,
2022-03-08,28,2239,77,
2022-03-09,27,2240,77,
2022-03-10,25,2242,77,
2022-03-11,20,2251,77,
2022-03-12,19,2252,77,
2022-03-13,19,2252,77,
2022-03-14,11,2260,77,
2022-03-15,7,2263,78,
2022-03-16,7,2263,78,
2022-03-17,5,2266,78,
2022-03-18,6,2266,78,
2022-03-19,6,2266,78,
2022-03-20,4,2268,78,
