tanggal,positif,sembuh,meninggal,suspect
2022-02-03,1,3064,412,
2022-02-04,2,3064,412,
2022-02-05,5,3064,412,
2022-02-06,7,3064,412,
2022-02-07,7,3064,412,
2022-02-08,11,3064,412,
2022-02-09,15,3064,412,
2022-02-10,23,3064,412,
2022-02-11,28,3064,412,
2022-02-12,35,3064,412,
2022-02-13,46,3065,412,
2022-02-14,65,3068,412,
2022-02-15,89,3073,412,
2022-02-16,105,3073,412,
2022-02-17,139,3075,412,
2022-02-18,149,3079,412,
2022-02-19,192,3079,412,
2022-02-20,204,3082,412,
2022-02-21,219,3088,412,
2022-02-22,232,3124,412,
2022-02-23,286,3147,412,
2022-02-24,316,3176,412,
2022-02-25,314,3196,412,
2022-02-26,335,3214,412,
2022-02-27,342,3223,412,
2022-02-28,331,3242,412,
2022-03-01,326,3251,412,
2022-03-02,307,3278,412,
2022-03-03,289,3320,412,
2022-03-04,264,3375,412,
