tanggal,positif,sembuh,meninggal,suspect
2022-02-03,1,2800,239,
2022-02-04,3,2800,239,
2022-02-05,3,2800,239,
2022-02-06,3,2800,239,
2022-02-07,3,2800,239,
2022-02-08,3,2800,239,
2022-02-09,3,2801,239,
2022-02-10,12,2801,239,
2022-02-11,21,2801,239,
2022-02-12,33,2802,239,
2022-02-13,38,2802,239,
2022-02-14,45,2803,239,
2022-02-15,111,2803,239,
2022-02-16,147,2803,240,
2022-02-17,201,2804,241,
2022-02-18,229,2805,241,
2022-02-19,270,2813,241,
2022-02-20,303,2813,242,
2022-02-21,322,2834,242,
2022-02-22,342,2852,242,
2022-02-23,374,2869,242,
2022-02-24,359,2905,242,
2022-02-25,366,2926,242,
2022-02-26,337,2968,242,
2022-02-27,334,2982,242,
2022-02-28,327,2989,242,
2022-03-01,282,3039,243,
2022-03-02,260,3081,244,
2022-03-03,258,3087,244,
2022-03-04,229,3120,244,
2022-03-05,188,3168,244,
2022-03-06,193,3168,244,
2022-03-07,175,3188,244,
2022-03-08,175,3188,244,
