tanggal,positif,sembuh,meninggal,suspect
2022-02-03,0,3067,333,
2022-02-04,0,3067,333,
2022-02-05,0,3067,333,
2022-02-06,0,3067,333,
2022-02-07,0,3067,333,
2022-02-08,0,3067,333,
2022-02-09,0,3067,333,
2022-02-10,0,3067,333,
2022-02-11,2,3067,333,
2022-02-12,6,3067,333,
2022-02-13,6,3067,333,
2022-02-14,6,3067,333,
2022-02-15,13,3067,333,
2022-02-16,13,3067,333,
2022-02-17,18,3067,333,
2022-02-18,21,3067,333,
2022-02-19,26,3067,334,
2022-02-20,27,3067,334,
2022-02-21,25,3069,334,
2022-02-22,27,3071,334,
2022-02-23,23,3075,334,
2022-02-24,28,3077,334,
2022-02-25,29,3077,334,
2022-02-26,36,3077,334,
2022-02-27,31,3082,334,
2022-02-28,31,3090,335,
2022-03-01,30,3091,335,
2022-03-02,37,3094,335,
2022-03-03,45,3094,336,
2022-03-04,51,3095,336,
2022-03-05,48,3102,336,
2022-03-06,45,3107,336,
2022-03-07,42,3110,336,
2022-03-08,42,3110,336,
2022-03-08,46,3110,336,
2022-03-09,46,3110,336,
2022-03-10,50,3113,336,
2022-03-11,55,3114,337,
2022-03-12,53,3124,337,
2022-03-13,39,3140,337,
2022-03-14,38,3143,337,
2022-03-15,36,3147,338,
2022-03-16,38,3148,338,
2022-03-17,36,3150,338,
2022-03-18,36,3151,338,
2022-03-19,36,3152,338,
2022-03-20,33,3155,338,
2022-03-21,29,3159,338,
2022-03-22,27,3166,338,
2022-03-23,27,3166,338,
2022-03-24,25,3167,339,
2022-03-25,25,3169,339,
2022-03-26,24,3170,339,
2022-03-27,25,3171,339,
2022-03-28,27,3171,339,
2022-03-29,26,3172,339,
2022-03-30,12,3187,340,
2022-03-31,11,3188,340,
2022-04-01,10,3189,340,
2022-04-02,8,3191,340,
2022-04-03,7,3192,340,
2022-04-04,5,3194,340,
2022-04-05,6,3194,486,
2022-04-06,4,3196,486,
2022-04-07,3,3197,486,
2022-04-08,4,3197,486,
2022-04-09,3,3197,487,
2022-04-10,3,3197,487,
2022-05-20,0,3204,488,
2022-05-21,0,3204,488,
2022-05-22,0,3204,488,
2022-05-23,0,3204,488,
2022-05-24,1,3204,488,
2022-05-25,1,3204,488,
2022-05-26,1,3204,488,
2022-05-27,1,3204,488,
2022-05-28,1,3204,488,
2022-05-29,1,3204,488,
2022-05-30,1,3204,488,
2022-05-31,1,3204,488,
2022-06-01,1,3204,488,
2022-06-02,1,3204,488,
2022-06-03,1,3204,488,
2022-06-04,1,3204,488,
2022-06-05,0,3205,488,
2022-06-06,0,3205,488,
2022-06-07,0,3205,488,
2022-06-08,0,3205,488,
2022-06-09,0,3205,488,
2022-06-10,0,3205,488,
2022-06-11,0,3205,488,
2022-06-12,0,3205,488,
2022-06-13,0,3205,488,
2022-06-14,0,3205,488,
2022-06-15,1,3205,488,
2022-06-16,1,3205,488,
2022-06-17,1,3205,488,
2022-06-18,1,3205,488,
2022-06-19,0,3205,488,
2022-06-20,0,3206,488,
2022-06-21,0,3206,488,
2022-06-22,0,3206,488,
2022-06-23,0,3206,488,
2022-06-24,0,3206,488,
2022-06-25,0,3206,488,
2022-06-26,0,3206,488,
2022-06-27,0,3206,488,
2022-06-28,0,3206,488,
2022-06-29,0,3206,488,
2022-06-30,0,3206,488,
2022-07-01,0,3206,488,
2022-07-02,0,3206,488,
2022-07-03,0,3206,488,
2022-07-04,0,3206,488,
2022-07-05,0,3206,488,
2022-07-06,0,3206,488,
2022-07-07,0,3206,488,
2022-07-08,0,3206,488,
2022-07-09,0,3206,488,
2022-07-10,0,3206,488,
2022-07-11,0,3206,488,
2022-07-12,0,3206,488,
2022-07-13,0,3206,488,
2022-07-14,0,3206,488,
2022-07-15,1,3206,488,
2022-07-16,1,3206,488,
2022-07-17,1,3206,488,
2022-07-18,1,3206,489,
2022-07-19,1,3206,489,
2022-07-20,3,3206,489,
2022-07-21,3,3206,489,
2022-07-22,6,3206,489,
2022-07-23,7,3206,489,
2022-07-24,7,3206,489,
2022-07-25,6,3207,489,
2022-07-26,5,3208,489,
2022-07-27,7,3208,489,
2022-07-28,7,3208,489,
