tanggal,positif,sembuh,meninggal,suspect
2022-02-03,1,2181,112,
2022-02-04,2,2181,112,
2022-02-05,8,2181,112,
2022-02-06,11,2181,112,
2022-02-07,11,2181,112,
2022-02-08,20,2181,112,
2022-02-09,27,2181,112,
2022-02-10,35,2182,162,
2022-02-11,45,2182,162,
2022-02-12,49,2182,162,
2022-02-13,55,2186,162,
2022-02-14,58,2186,162,
2022-02-15,84,2193,162,
2022-02-16,118,2193,162,
2022-02-17,165,2203,162,
2022-02-18,201,2210,162,
2022-02-19,217,2221,162,
2022-02-20,244,2221,162,
2022-02-21,250,2235,162,
2022-02-22,307,2245,162,
2022-02-23,309,2255,162,
2022-02-24,372,2279,162,
2022-02-25,369,2316,162,
2022-02-26,335,2375,162,
2022-02-27,299,2424,162,
2022-02-28,273,2451,162,
2022-03-01,255,2482,163,
2022-03-02,283,2484,163,
2022-03-03,248,2558,163,
2022-03-04,212,2603,163,
2022-03-05,190,2648,163,
2022-03-06,169,2682,163,
2022-03-07,147,2709,163,
2022-03-08,147,2709,163,
2022-03-08,151,2721,163,
2022-03-09,161,2730,163,
2022-03-10,151,2751,163,
2022-03-11,132,2775,163,
2022-03-12,104,2811,163,
2022-03-13,104,2811,163,
2022-03-14,54,2864,163,
2022-03-15,56,2869,163,
2022-03-16,51,2880,163,
2022-03-17,39,2896,163,
2022-03-18,27,2910,163,
2022-03-19,25,2916,163,
2022-03-20,21,2923,163,
2022-03-21,21,2923,163,
2022-03-22,25,2923,163,
2022-03-23,25,2923,163,
2022-03-24,17,2934,163,
2022-03-25,14,2940,163,
2022-03-26,12,2944,163,
2022-03-27,9,2947,163,
2022-03-28,7,2950,163,
2022-03-29,8,2950,163,
2022-03-30,9,2952,163,
2022-03-31,7,2954,163,
2022-04-01,4,2958,163,
2022-04-02,4,2958,163,
2022-04-03,2,2962,163,
2022-04-04,2,2962,163,
2022-04-05,2,2962,163,
2022-04-06,4,2962,163,
2022-04-07,4,2962,163,
2022-04-08,4,2962,163,
2022-04-09,4,2962,163,
2022-04-10,0,2966,163,
2022-05-20,0,2966,214,
2022-05-21,0,2966,214,
2022-05-22,0,2966,214,
2022-05-23,0,2966,214,
2022-05-24,0,2966,214,
2022-05-25,0,2966,214,
2022-05-26,0,2966,214,
2022-05-27,0,2966,214,
2022-05-28,0,2966,214,
2022-05-29,0,2966,214,
2022-05-30,0,2966,214,
2022-05-31,0,2966,214,
2022-06-01,0,2966,214,
2022-06-02,0,2966,214,
2022-06-03,0,2966,214,
2022-06-04,0,2966,214,
2022-06-05,0,2966,214,
2022-06-06,1,2966,214,
2022-06-07,1,2966,214,
2022-06-08,1,2966,214,
2022-06-09,1,2966,214,
2022-06-10,1,2966,214,
2022-06-11,1,2966,214,
2022-06-12,1,2966,214,
2022-06-13,1,2966,214,
2022-06-14,1,2966,214,
2022-06-15,1,2966,214,
2022-06-16,1,2967,214,
2022-06-17,0,2967,214,
2022-06-18,0,2967,214,
2022-06-19,1,2966,214,
2022-06-20,0,2967,214,
2022-06-21,0,2967,214,
2022-06-22,0,2967,214,
2022-06-23,0,2967,214,
2022-06-24,1,2967,214,
2022-06-25,1,2967,214,
2022-06-26,1,2967,214,
2022-06-27,1,2967,214,
2022-06-28,1,2967,214,
2022-06-29,1,2967,214,
2022-06-30,1,2967,214,
2022-07-01,1,2967,214,
2022-07-02,1,2968,214,
2022-07-03,0,2968,214,
2022-07-04,0,2968,214,
2022-07-05,0,2968,214,
2022-07-06,0,2968,214,
2022-07-07,0,2968,214,
2022-07-08,0,2968,214,
2022-07-09,0,2968,214,
2022-07-10,0,2968,214,
2022-07-11,0,2968,214,
2022-07-12,1,2968,214,
2022-07-13,1,2968,214,
2022-07-14,1,2968,214,
2022-07-15,1,2968,214,
2022-07-16,2,2968,214,
2022-07-17,2,2968,214,
2022-07-18,2,2968,214,
