tanggal,positif,sembuh,meninggal,suspect
2022-02-03,14,5894,490,
2022-02-04,16,5894,490,
2022-02-05,21,5894,490,
2022-02-06,22,5894,490,
2022-02-07,23,5894,490,
2022-02-08,27,5894,490,
2022-02-09,26,5896,490,
2022-02-10,31,5896,490,
2022-02-11,37,5896,490,
2022-02-12,39,5905,490,
2022-02-13,43,5905,490,
2022-02-14,38,5910,490,
2022-02-15,50,5910,490,
2022-02-16,46,5918,490,
2022-02-17,65,5918,490,
2022-02-18,66,5919,490,
2022-02-19,74,5919,491,
2022-02-20,75,5928,491,
2022-02-21,78,5928,491,
2022-02-22,87,5939,491,
2022-02-23,130,5947,491,
2022-02-24,107,5947,491,
