tanggal,positif,sembuh,meninggal,suspect
2022-02-03,9,7905,747,
2022-02-04,12,7906,747,
2022-02-05,14,7906,747,
2022-02-06,15,7906,747,
2022-02-07,18,7906,747,
2022-02-08,32,7906,747,
2022-02-09,52,7907,747,
2022-02-10,65,7907,747,
2022-02-11,94,7908,747,
2022-02-12,114,7911,747,
2022-02-13,154,7911,747,
2022-02-14,154,7914,747,
2022-02-15,188,7918,748,
2022-02-16,293,7921,749,
2022-02-17,341,7921,749,
2022-02-18,365,7936,749,
2022-02-19,463,7956,749,
2022-02-20,508,7970,750,
2022-02-21,511,8002,751,
2022-02-22,557,8025,751,
2022-02-23,719,8025,751,
2022-02-24,761,8067,751,
2022-02-25,811,8091,751,
2022-02-26,731,8196,752,
2022-02-27,698,8257,754,
2022-02-28,668,8291,754,
2022-03-01,550,8415,754,
2022-03-02,529,8474,754,
2022-03-03,518,8516,755,
2022-03-04,460,8581,755,
2022-03-05,334,8741,755,
2022-03-06,258,8828,755,
2022-03-07,185,8900,756,
2022-03-08,185,8900,756,
2022-03-08,175,8926,756,
2022-03-09,178,8954,756,
2022-03-10,187,8958,756,
2022-03-11,189,8964,756,
2022-03-12,161,8999,1255,
2022-03-13,131,9030,1256,
2022-03-14,124,9037,1257,
2022-03-15,99,9071,1257,
2022-03-16,92,9082,1258,
2022-03-17,92,9085,1258,
2022-03-18,82,9099,1258,
2022-03-19,54,9129,1258,
2022-03-20,43,9141,1258,
2022-03-21,36,9148,1258,
2022-03-22,29,9159,1258,
2022-03-23,29,9159,1258,
2022-03-24,26,9162,1258,
2022-03-25,18,9170,1258,
2022-03-26,18,9175,1258,
2022-03-27,18,9176,1258,
2022-03-28,13,9181,1258,
2022-03-29,10,9184,1258,
2022-03-30,11,9185,1258,
2022-03-31,10,9186,1258,
2022-04-01,8,9189,1258,
2022-04-02,8,9189,1258,
2022-04-03,8,9189,1258,
2022-04-04,6,9192,1258,
2022-04-05,4,9194,1258,
2022-04-06,3,9195,1258,
2022-04-07,3,9195,1258,
2022-04-08,3,9195,1258,
2022-04-09,3,9195,1258,
2022-04-10,3,9195,1258,
2022-05-20,3,9204,1512,
2022-05-21,3,9204,1512,
2022-05-22,2,9205,1512,
2022-05-23,2,9205,1512,
2022-05-24,2,9205,1512,
2022-05-25,2,9205,1512,
2022-05-26,3,9205,1512,
2022-05-27,3,9205,1512,
2022-05-28,3,9205,1512,
2022-05-29,3,9205,1512,
2022-05-30,2,9206,1512,
2022-05-31,1,9207,1512,
2022-06-01,1,9207,1512,
2022-06-02,1,9207,1512,
2022-06-03,1,9207,1512,
2022-06-04,1,9207,1512,
2022-06-05,1,9207,1512,
2022-06-06,0,9208,1512,
2022-06-07,0,9208,1512,
2022-06-08,0,9208,1512,
2022-06-09,0,9208,1512,
2022-06-10,0,9208,1512,
2022-06-11,2,9208,1512,
2022-06-12,2,9208,1512,
2022-06-13,2,9208,1512,
2022-06-14,2,9208,1512,
2022-06-15,3,9208,1512,
2022-06-16,3,9208,1512,
2022-06-17,3,9208,1512,
2022-06-18,3,9208,1512,
2022-06-19,2,9208,1512,
2022-06-20,3,9208,1512,
2022-06-21,2,9210,1512,
2022-06-22,2,9210,1512,
2022-06-23,2,9210,1512,
2022-06-24,2,9210,1512,
2022-06-25,2,9210,1512,
2022-06-26,2,9210,1512,
2022-06-27,1,9211,1512,
2022-06-28,1,9211,1512,
2022-06-29,3,9211,1512,
2022-06-30,4,9212,1512,
2022-07-01,4,9212,1512,
2022-07-02,4,9212,1512,
2022-07-03,4,9212,1512,
2022-07-04,4,9212,1512,
2022-07-05,4,9212,1512,
2022-07-06,4,9212,1512,
2022-07-07,4,9212,1512,
2022-07-08,2,9214,1512,
2022-07-09,3,9214,1512,
2022-07-10,2,9214,1513,
2022-07-11,0,9216,1513,
2022-07-12,3,9216,1513,
2022-07-13,3,9216,1513,
2022-07-14,3,9216,1513,
2022-07-15,3,9216,1513,
2022-07-16,3,9216,1513,
2022-07-17,3,9216,1513,
2022-07-18,3,9216,1513,
2022-07-19,6,9216,1513,
2022-07-20,6,9216,1513,
2022-07-21,6,9216,1513,
2022-07-22,4,9218,1513,
2022-07-23,8,9218,1513,
2022-07-24,8,9218,1513,
2022-07-25,8,9218,1513,
2022-07-26,8,9218,1514,
2022-07-27,12,9219,1514,
2022-07-28,12,9219,1514,
2022-07-29,14,9219,1514,
2022-07-30,11,9222,1515,
2022-07-31,12,9222,1515,
