tanggal,positif,sembuh,meninggal,suspect
2022-02-03,6,2372,122,
2022-02-04,10,2372,122,
2022-02-05,17,2372,122,
2022-02-06,16,2375,122,
2022-02-07,16,2375,122,
2022-02-08,22,2375,122,
2022-02-09,27,2375,122,
2022-02-10,34,2377,122,
2022-02-11,48,2379,122,
2022-02-12,90,2379,122,
2022-02-13,95,2384,122,
2022-02-14,99,2390,122,
2022-02-15,121,2393,122,
2022-02-16,146,2393,122,
2022-02-17,165,2399,122,
2022-02-18,163,2412,122,
2022-02-19,165,2423,122,
2022-02-20,167,2432,122,
2022-02-21,129,2474,122,
2022-02-22,144,2479,122,
2022-02-23,164,2479,123,
2022-02-24,153,2510,123,
2022-02-25,133,2536,125,
2022-02-26,123,2567,125,
2022-02-27,103,2589,125,
2022-02-28,96,2597,125,
2022-03-01,89,2605,125,
2022-03-02,92,2605,126,
2022-03-03,84,2618,126,
2022-03-04,68,2634,126,
2022-03-05,67,2651,126,
2022-03-06,43,2675,126,
2022-03-07,37,2684,126,
2022-03-08,37,2684,126,
2022-03-08,44,2684,126,
2022-03-09,38,2689,127,
2022-03-10,43,2689,128,
2022-03-11,39,2694,128,
2022-03-12,43,2694,128,
2022-03-13,38,2700,128,
2022-03-14,32,2706,128,
2022-03-15,25,2717,128,
2022-03-16,25,2717,128,
2022-03-17,24,2719,128,
2022-03-18,21,2722,128,
2022-03-19,22,2722,128,
2022-03-20,13,2732,128,
2022-03-21,14,2732,128,
2022-03-22,13,2737,128,
2022-03-23,13,2737,128,
2022-03-24,11,2740,128,
2022-03-25,12,2740,128,
2022-03-26,14,2740,128,
2022-03-27,14,2740,128,
2022-03-28,13,2741,128,
2022-03-29,10,2745,128,
2022-03-30,10,2745,128,
2022-03-31,9,2748,128,
