tanggal,positif,sembuh,meninggal,suspect
2022-02-03,48,9784,2601,
2022-02-04,77,9784,2601,
2022-02-05,89,9784,2601,
2022-02-06,121,9788,2601,
2022-02-07,131,9788,2601,
2022-02-08,141,9788,2604,
2022-02-09,202,9794,2604,
2022-02-10,236,9794,2604,
2022-02-11,276,9804,2605,
2022-02-12,302,9813,2605,
2022-02-13,312,9813,2605,
2022-02-14,332,9813,2605,
2022-02-15,295,9861,2606,
2022-02-16,333,9871,2606,
2022-02-17,382,9871,2606,
2022-02-18,398,9910,2606,
2022-02-19,468,9910,2606,
2022-02-20,478,10009,2606,
2022-02-21,443,10053,2606,
2022-02-22,441,10093,2606,
2022-02-23,445,10123,2606,
2022-02-24,478,10143,2606,
2022-02-25,540,10155,2606,
2022-02-26,606,10212,2606,
2022-02-27,642,10286,2607,
2022-02-28,603,10387,2608,
2022-03-01,595,10467,2608,
2022-03-02,498,10597,2610,
2022-03-03,459,10663,2610,
2022-03-04,373,10768,2612,
2022-03-05,321,10842,2613,
2022-03-06,346,10842,2613,
2022-03-07,238,10966,2614,
2022-03-08,207,11016,2614,
2022-03-08,238,10966,2614,
2022-03-09,195,11050,2615,
2022-03-10,200,11069,2615,
2022-03-11,187,11098,2615,
2022-03-12,160,11128,2615,
2022-03-13,156,11148,2615,
2022-03-14,140,11168,2616,
2022-03-15,121,11195,2616,
2022-03-16,110,11215,2616,
2022-03-17,89,11241,2617,
2022-03-18,72,11261,2617,
2022-03-19,67,11271,2617,
2022-03-20,52,11286,2618,
2022-03-21,44,11294,2618,
2022-03-22,37,11312,2618,
2022-03-23,37,11312,2618,
2022-03-24,34,11319,2618,
2022-03-25,33,11324,2618,
2022-03-26,38,11329,2618,
2022-03-27,35,11333,2618,
2022-03-28,31,11337,2618,
2022-03-29,34,11339,2618,
2022-03-30,34,11342,2618,
2022-03-31,32,11347,2618,
2022-04-01,29,11352,2618,
2022-04-02,22,11359,2618,
2022-04-03,17,11365,2618,
2022-04-04,10,11372,2618,
2022-04-05,10,11372,3001,
2022-04-06,11,11373,3001,
2022-04-07,9,11375,3001,
2022-04-08,6,11378,3001,
2022-04-09,3,11381,3001,
2022-04-10,3,11381,3001,
2022-05-20,4,11400,3388,
2022-05-21,4,11400,3388,
2022-05-22,4,11400,3388,
2022-05-23,2,11402,3388,
2022-05-24,2,11402,3388,
2022-05-25,2,11403,3388,
2022-05-26,2,11403,3388,
2022-05-27,2,11403,3388,
2022-05-28,2,11404,3388,
2022-05-29,2,11404,3388,
2022-05-30,2,11404,3388,
2022-05-31,2,11404,3388,
2022-06-01,4,11404,3388,
2022-06-01,2,11404,3388,
2022-06-02,4,11404,3388,
2022-06-03,3,11405,3388,
2022-06-04,2,11406,3388,
2022-06-05,2,11406,3388,
2022-06-06,2,11406,3388,
2022-06-07,2,11406,3388,
2022-06-08,2,11406,3388,
2022-06-09,2,11406,3388,
2022-06-10,2,11408,3388,
2022-06-11,0,11408,3388,
2022-06-12,0,11408,3388,
2022-06-13,0,11408,3388,
2022-06-14,0,11408,3388,
2022-06-15,0,11408,3388,
2022-06-16,1,11408,3388,
2022-06-17,2,11408,3388,
2022-06-18,2,11408,3388,
2022-06-19,0,11408,3388,
2022-06-20,2,11408,3388,
2022-06-21,2,11408,3388,
2022-06-22,4,11408,3388,
2022-06-23,4,11408,3388,
2022-06-24,2,11410,3388,
2022-06-25,2,11410,3388,
2022-06-26,5,11410,3388,
2022-06-27,5,11410,3388,
2022-06-28,5,11411,3388,
2022-06-29,7,11411,3388,
2022-06-30,15,11411,3388,
2022-07-01,17,11412,3388,
2022-07-02,18,11413,3388,
2022-07-03,20,11413,3388,
2022-07-04,21,11413,3388,
2022-07-05,24,11415,3388,
2022-07-06,27,11415,3388,
2022-07-07,25,11417,3388,
2022-07-08,29,11418,3388,
2022-07-09,26,11427,3388,
