tanggal,positif,sembuh,meninggal,suspect
2022-02-03,329,15345,544,
2022-02-04,496,15345,544,
2022-02-05,669,15354,545,
2022-02-06,830,15357,545,
2022-02-07,900,15358,546,
2022-02-08,1147,15384,546,
2022-02-09,1504,15385,548,
2022-02-10,1765,15385,548,
2022-02-11,2012,15436,550,
2022-02-12,2271,15477,554,
2022-02-13,2526,15477,554,
2022-02-14,2409,15778,557,
2022-02-15,2736,15778,559,
2022-02-16,2994,15871,559,
2022-02-17,3106,15997,561,
2022-02-18,2867,16466,566,
2022-02-19,3042,16468,569,
2022-02-20,3037,16589,569,
2022-02-21,2650,17076,569,
2022-02-22,2824,17076,571,
2022-02-23,2906,17082,576,
2022-02-24,3059,17082,576,
2022-02-25,2347,17872,579,
2022-02-26,2410,17872,579,
2022-02-27,1888,18430,584,
2022-02-28,1904,18430,584,
