tanggal,positif,sembuh,meninggal,suspek
2022-02-03,493,67599,6151,1213.0
2022-02-04,739,67600,6151,1212.0
2022-02-05,979,67609,6152,1251.0
2022-02-06,1216,67619,6152,1251.0
2022-02-07,1317,67620,6153,1271.0
2022-02-08,1668,67648,6157,1299.0
2022-02-09,2216,67663,6159,1339.0
2022-02-10,2638,67683,6210,1361.0
2022-02-11,3097,67764,6214,1374.0
2022-02-11,2638,67683,6210,1361.0
2022-02-12,3097,67764,6214,1374.0
2022-02-12,3633,67835,6219,1382.0
2022-02-13,4101,67852,6220,1416.0
2022-02-13,3633,67835,6219,1382.0
2022-02-14,4101,67852,6220,1416.0
2022-02-14,4053,68199,6224,1425.0
2022-02-15,4686,68275,6228,1449.0
2022-02-15,4053,68199,6224,1425.0
2022-02-16,4686,68275,6228,1449.0
2022-02-16,5309,68461,6230,1456.0
2022-02-17,5309,68461,6230,1456.0
2022-02-17,5797,68704,6235,1468.0
2022-02-18,5734,69323,6241,1479.0
2022-02-18,5797,68704,6235,1468.0
2022-02-19,6286,69412,6246,1501.0
2022-02-19,5734,69323,6241,1479.0
2022-02-20,6461,69720,6250,1526.0
2022-02-20,6286,69412,6246,1501.0
2022-02-21,6034,70472,6252,1526.0
2022-02-21,6034,70472,6252,1538.0
2022-02-21,6461,69720,6250,1526.0
2022-02-22,6325,70822,6254,1537.0
2022-02-22,6034,70472,6252,1538.0
2022-02-23,6325,70822,6254,1537.0
2022-02-23,6811,70951,6260,1488.0
2022-02-24,7146,71178,6260,1483.0
2022-02-24,6811,70951,6260,1488.0
2022-02-25,7146,71178,6260,1483.0
2022-02-25,6464,72258,6266,1479.0
2022-02-26,6464,72258,6266,1479.0
2022-02-26,6440,72655,6267,1493.0
2022-02-27,5839,73536,6276,1501.0
2022-02-28,5629,73849,6278,1494.0
2022-02-28,5839,73536,6276,1501.0
2022-03-01,4799,74855,6284,1463.0
2022-03-01,5629,73849,6278,1494.0
2022-03-02,4799,74855,6284,1463.0
2022-03-02,4511,75415,6291,1453.0
2022-03-03,4511,75415,6291,1453.0
2022-03-03,4462,75726,6293,1456.0
2022-03-04,4019,76280,6300,1424.0
2022-03-04,4462,75726,6293,1456.0
2022-03-05,3683,76810,6301,1385.0
2022-03-05,4019,76280,6300,1424.0
2022-03-06,3683,76810,6301,1385.0
2022-03-06,3552,77044,6301,1382.0
2022-03-07,3552,77044,6301,1382.0
2022-03-07,3053,77580,6304,1346.0
2022-03-08,3053,77580,6304,1346.0
2022-03-08,2897,77878,6305,1346.0
2022-03-09,3053,77580,6304,1346.0
2022-03-09,2881,78022,6484,1338.0
2022-03-10,2881,78022,6484,1338.0
2022-03-10,2815,78178,6486,1328.0
2022-03-11,2487,78591,6487,1325.0
2022-03-11,2815,78178,6486,1328.0
2022-03-12,1619,79513,6989,1308.0
2022-03-12,2487,78591,6487,1325.0
2022-03-13,1506,79666,6990,1309.0
2022-03-13,1619,79513,6989,1308.0
2022-03-14,1405,79781,6993,1302.0
2022-03-14,1506,79666,6990,1309.0
2022-03-15,1405,79781,6993,1302.0
2022-03-15,1006,80236,6999,1298.0
2022-03-16,881,80412,7000,1290.0
2022-03-16,1006,80236,6999,1298.0
2022-03-17,791,80532,7002,1283.0
2022-03-17,881,80412,7000,1290.0
2022-03-18,791,80532,7002,1283.0
2022-03-18,643,80710,7002,1271.0
2022-03-19,643,80710,7002,1271.0
2022-03-19,605,80764,7002,1263.0
2022-03-20,605,80764,7002,1263.0
2022-03-20,565,80820,7003,1254.0
2022-03-21,565,80820,7003,1254.0
2022-03-21,533,80856,7003,1244.0
2022-03-22,533,80856,7003,1244.0
2022-03-22,432,81026,7004,1220.0
2022-03-23,432,81026,7004,1220.0
2022-03-24,432,81026,7004,1220.0
2022-03-24,408,81064,7005,1214.0
2022-03-25,408,81064,7005,1214.0
2022-03-25,403,81088,7005,1202.0
2022-03-26,403,81088,7005,1202.0
2022-03-26,412,81108,7006,1206.0
2022-03-27,412,81108,7006,1206.0
2022-03-27,399,81130,7006,1203.0
2022-03-28,399,81130,7006,1203.0
2022-03-28,304,81231,7007,1203.0
2022-03-29,312,81252,7007,1201.0
2022-03-29,304,81231,7007,1203.0
2022-03-30,273,81306,7133,1194.0
2022-03-30,312,81252,7007,1201.0
2022-03-31,273,81306,7133,1194.0
2022-03-31,186,81405,7133,1195.0
2022-04-01,186,81405,7133,1195.0
2022-04-01,175,81428,7133,1196.0
2022-04-02,168,81444,7133,1196.0
2022-04-02,175,81428,7133,1196.0
2022-04-03,158,81460,7133,1194.0
2022-04-03,168,81444,7133,1196.0
2022-04-04,145,81477,7133,1194.0
2022-04-04,158,81460,7133,1194.0
2022-04-05,143,81486,7662,1197.0
2022-04-05,145,81477,7133,1194.0
2022-04-06,143,81496,7662,1192.0
2022-04-06,143,81486,7662,1197.0
2022-04-07,138,81504,7662,1194.0
2022-04-08,137,81511,7662,1194.0
2022-04-08,138,81504,7662,1194.0
2022-04-09,137,81511,7662,1194.0
2022-04-09,92,81561,7663,1197.0
2022-04-10,84,81569,7663,1195.0
2022-04-10,92,81561,7663,1197.0
2022-04-11,84,81569,7663,1195.0
2022-05-20,27,81732,8519,1158.0
2022-05-21,17,81742,8519,1157.0
2022-05-22,18,81743,8519,1157.0
2022-05-23,15,81746,8519,1157.0
2022-05-24,19,81747,8519,1157.0
2022-05-25,19,81749,8519,1157.0
2022-05-26,20,81749,8519,1157.0
2022-05-27,20,81749,8519,1157.0
2022-05-28,20,81749,8519,1157.0
2022-05-28,21,81752,8519,1157.0
2022-05-29,21,81752,8519,1157.0
2022-05-30,21,81752,8519,1157.0
2022-05-30,20,81753,8519,1157.0
2022-05-31,19,81755,8519,1157.0
2022-05-31,20,81753,8519,1157.0
2022-06-01,19,81755,8519,1157.0
2022-06-01,23,81755,8519,1157.0
2022-06-01,21,81755,8519,1157.0
2022-06-02,23,81755,8519,1157.0
2022-06-02,20,81758,8519,1157.0
2022-06-03,20,81758,8519,1157.0
2022-06-03,21,81760,8519,1157.0
2022-06-04,21,81760,8519,1157.0
2022-06-04,19,81762,8519,1157.0
2022-06-05,15,81766,8519,1157.0
2022-06-05,19,81762,8519,1157.0
2022-06-06,15,81766,8519,1157.0
2022-06-06,16,81767,8519,1157.0
2022-06-07,16,81767,8519,1157.0
2022-06-07,15,81769,8519,1157.0
2022-06-08,12,81774,8519,1157.0
2022-06-08,15,81769,8519,1157.0
2022-06-09,15,81774,8519,1157.0
2022-06-09,12,81774,8519,1157.0
2022-06-10,15,81774,8519,1157.0
2022-06-10,17,81777,8519,1157.0
2022-06-11,17,81777,8519,1157.0
2022-06-11,19,81778,8519,1164.0
2022-06-12,20,81778,8519,1164.0
2022-06-12,19,81778,8519,1164.0
2022-06-13,22,81778,8519,1164.0
2022-06-13,20,81778,8519,1164.0
2022-06-14,25,81778,8519,1164.0
2022-06-14,22,81778,8519,1164.0
2022-06-15,27,81778,8519,1164.0
2022-06-15,24,81778,8519,1164.0
2022-06-15,25,81778,8519,1164.0
2022-06-16,25,81782,8519,1164.0
2022-06-16,27,81778,8519,1164.0
2022-06-17,24,81785,8519,1162.0
2022-06-17,24,81782,8519,1164.0
2022-06-18,24,81785,8519,1162.0
2022-06-19,19,81778,8519,1164.0
